"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","151","Add New Category[Chromium]","tests.api","Sat Feb 07 09:18:00 UTC 2026","passed","Sat Feb 07 09:18:00 UTC 2026","TestCategory","test_api_category","",""
"","38","Message Should Be Produced To Userdata After Kafka Event","tests.kafka","Sat Feb 07 09:18:37 UTC 2026","passed","Sat Feb 07 09:18:37 UTC 2026","TestAuthRegistrationKafka","test_kafka","",""
"","211","Create User Name[Chromium]","tests.ui","Sat Feb 07 09:18:23 UTC 2026","passed","Sat Feb 07 09:18:23 UTC 2026","TestProfileInfo","test_profile_page","",""
"","22","Profile Title[Chromium]","tests.ui","Sat Feb 07 09:18:22 UTC 2026","passed","Sat Feb 07 09:18:22 UTC 2026","TestProfileInfo","test_profile_page","",""
"","8","Check Spend In Db[Chromium-Some-Database]","tests.ui","Sat Feb 07 09:18:12 UTC 2026","passed","Sat Feb 07 09:18:12 UTC 2026","TestDatabase","test_category_db","",""
"","1087","Authentication User[Chromium]","tests.ui","Sat Feb 07 09:18:14 UTC 2026","passed","Sat Feb 07 09:18:15 UTC 2026","TestAuthentication","test_login_page","",""
"","898","Delete Spending After Action[Chromium-Qa.Guru Python Advanced 2-Car]","tests.ui","Sat Feb 07 09:18:31 UTC 2026","passed","Sat Feb 07 09:18:32 UTC 2026","TestSpendPage","test_spending","",""
"","56","Add Spend Without Description[Chromium]","tests.api","Sat Feb 07 09:18:05 UTC 2026","passed","Sat Feb 07 09:18:05 UTC 2026","TestApiSpends","test_api_spends","",""
"","35","Get All Categories[Chromium-Awesome]","tests.api","Sat Feb 07 09:18:00 UTC 2026","passed","Sat Feb 07 09:18:00 UTC 2026","TestCategory","test_api_category","",""
"","475","Registration New User[Chromium]","tests.ui","Sat Feb 07 09:18:13 UTC 2026","passed","Sat Feb 07 09:18:13 UTC 2026","TestAuthentication","test_login_page","",""
"","104","Add Spend[Chromium]","tests.api","Sat Feb 07 09:18:03 UTC 2026","passed","Sat Feb 07 09:18:03 UTC 2026","TestApiSpends","test_api_spends","",""
"","1250","Edit Spending Currency Usd[Chromium-Herrerafurt-Country]","tests.ui","Sat Feb 07 09:18:35 UTC 2026","passed","Sat Feb 07 09:18:36 UTC 2026","TestSpendPage","test_spending","",""
"","313","Registration New User With Forbidden Name[Chromium]","tests.ui","Sat Feb 07 09:18:18 UTC 2026","passed","Sat Feb 07 09:18:18 UTC 2026","TestAuthentication","test_login_page","",""
"","11","Get User Info By Exist Username","tests.soap","Sat Feb 07 09:18:37 UTC 2026","passed","Sat Feb 07 09:18:37 UTC 2026","TestSoapNiffler","test_soap","",""
"","149","Add Same Category[Chromium-School]","tests.ui","Sat Feb 07 09:18:21 UTC 2026","passed","Sat Feb 07 09:18:21 UTC 2026","TestCategories","test_profile_page","",""
"","37","Update Spend Description[Chromium-New Roberttown-Vehicles]","tests.api","Sat Feb 07 09:18:08 UTC 2026","passed","Sat Feb 07 09:18:08 UTC 2026","TestApiSpends","test_api_spends","",""
"","605","Delete All Spending[Chromium-West Melanieview-City]","tests.ui","Sat Feb 07 09:18:33 UTC 2026","passed","Sat Feb 07 09:18:34 UTC 2026","TestSpendPage","test_spending","",""
"","55","Add Spend With Minimal Amount[Chromium]","tests.api","Sat Feb 07 09:18:06 UTC 2026","passed","Sat Feb 07 09:18:06 UTC 2026","TestApiSpends","test_api_spends","",""
"","148","Navigate From Authorization To Registration[Chromium]","tests.ui","Sat Feb 07 09:18:16 UTC 2026","passed","Sat Feb 07 09:18:16 UTC 2026","TestAuthentication","test_login_page","",""
"","624","Delete Spending[Chromium-Joshuaborough-School]","tests.ui","Sat Feb 07 09:18:29 UTC 2026","passed","Sat Feb 07 09:18:30 UTC 2026","TestSpendPage","test_spending","",""
"","26","Update Spend Currency Eur[Chromium-New Jamesside-Vehicles]","tests.api","Sat Feb 07 09:18:09 UTC 2026","passed","Sat Feb 07 09:18:09 UTC 2026","TestApiSpends","test_api_spends","",""
"","98","Spending Title Statistic Exists[Chromium]","tests.ui","Sat Feb 07 09:18:24 UTC 2026","passed","Sat Feb 07 09:18:25 UTC 2026","TestSpendPage","test_spending","",""
