"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Niffler app","0","Database","0","0","Category","0"
"2","Niffler app","0","Authentication","0","0","Wrong Authentication","0"
"14","Niffler app","0","Spends","0","0","Spend","0"
"1","Niffler app","0","Authentication","0","0","Authentication","0"
"1","Niffler app","0","Publishing messages to Kafka","0","0","Filling userdata exclude auth","0"
"5","Niffler app","0","Category","0","0","Category","0"
"2","Niffler app","0","Profile","0","0","Navigation","0"
"2","Niffler app","0","Sending messages to Soap","0","0","Getting info about existing user by username","0"
"1","Niffler app","0","Authentication","0","0","Navigation","0"
"1","Niffler app","0","Publishing messages to Kafka","0","0","Message with User publishing to Kafka after successful registration","0"
"1","Niffler app","0","Database","0","0","Spend","0"
"1","Niffler app","0","Authentication","0","0","Registration","0"
"1","Niffler app","0","Spends","0","0","Authentication","0"
