"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Niffler app","0","Spends","0","0","Authentication","0"
"0","Niffler app","1","Authentication","0","0","Authentication","0"
"0","Niffler app","1","Sending messages to Soap","1","0","Getting info about existing user by username","0"
"0","Niffler app","14","Spends","0","0","Spend","0"
"0","Niffler app","5","Category","0","0","Category","0"
"0","Niffler app","0","Authentication","2","0","Wrong Authentication","0"
"0","Niffler app","2","Profile","0","0","Navigation","0"
"0","Niffler app","1","Database","0","0","Category","0"
"0","Niffler app","0","Publishing messages to Kafka","1","0","Message with User publishing to Kafka after successful registration","0"
"0","Niffler app","0","Authentication","1","0","Registration","0"
"0","Niffler app","1","Database","0","0","Spend","0"
"1","Niffler app","0","Publishing messages to Kafka","0","0","Filling userdata exclude auth","0"
"0","Niffler app","0","Authentication","1","0","Navigation","0"
