"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Message Should Be Produced To Userdata After Kafka Event","tests.kafka","Sun Feb 08 20:24:48 UTC 2026","passed","Sun Feb 08 20:24:48 UTC 2026","TestAuthRegistrationKafka","test_kafka","",""
"","1041","Delete Spending Via Ui[Chromium]","tests.ui","Sun Feb 08 20:24:39 UTC 2026","passed","Sun Feb 08 20:24:40 UTC 2026","TestSpendPage","test_spending","",""
"","8","Get User Info By Not Exist Username","tests.soap","Sun Feb 08 20:24:48 UTC 2026","passed","Sun Feb 08 20:24:48 UTC 2026","TestSoapNiffler","test_soap","",""
"","36","Update Spend Description[Chromium-New Roberttown-Vehicles]","tests.api","Sun Feb 08 20:24:20 UTC 2026","passed","Sun Feb 08 20:24:20 UTC 2026","TestApiSpends","test_api_spends","",""
"","1096","Authentication User[Chromium]","tests.ui","Sun Feb 08 20:24:26 UTC 2026","passed","Sun Feb 08 20:24:27 UTC 2026","TestAuthentication","test_login_page","",""
"","138","Navigate From Authorization To Registration[Chromium]","tests.ui","Sun Feb 08 20:24:28 UTC 2026","passed","Sun Feb 08 20:24:28 UTC 2026","TestAuthentication","test_login_page","",""
"","22","Profile Title[Chromium]","tests.ui","Sun Feb 08 20:24:34 UTC 2026","passed","Sun Feb 08 20:24:34 UTC 2026","TestProfileInfo","test_profile_page","",""
"","301","Registration New User With Forbidden Name[Chromium]","tests.ui","Sun Feb 08 20:24:30 UTC 2026","passed","Sun Feb 08 20:24:30 UTC 2026","TestAuthentication","test_login_page","",""
"","755","Delete Spending[Chromium-Joshuaborough-School]","tests.ui","Sun Feb 08 20:24:41 UTC 2026","passed","Sun Feb 08 20:24:42 UTC 2026","TestSpendPage","test_spending","",""
"","138","Message Should Be Produced To Kafka After Successful Registration","tests.kafka","Sun Feb 08 20:24:48 UTC 2026","passed","Sun Feb 08 20:24:48 UTC 2026","TestAuthRegistrationKafka","test_kafka","",""
"","0","Api Auth[Chromium]","tests.api","Sun Feb 08 20:24:14 UTC 2026","passed","Sun Feb 08 20:24:14 UTC 2026","TestApiSpends","test_api_spends","",""
"","57","Add Spend With Category Name[Chromium]","tests.api","Sun Feb 08 20:24:16 UTC 2026","passed","Sun Feb 08 20:24:16 UTC 2026","TestApiSpends","test_api_spends","",""
"","233","Create User Name[Chromium]","tests.ui","Sun Feb 08 20:24:35 UTC 2026","passed","Sun Feb 08 20:24:35 UTC 2026","TestProfileInfo","test_profile_page","",""
"","7","Check Category In Database[Chromium-Lisatown-Database]","tests.ui","Sun Feb 08 20:24:23 UTC 2026","passed","Sun Feb 08 20:24:23 UTC 2026","TestDatabase","test_category_db","",""
"","145","Add New Category[Chromium]","tests.api","Sun Feb 08 20:24:12 UTC 2026","passed","Sun Feb 08 20:24:12 UTC 2026","TestCategory","test_api_category","",""
"","163","Create Category[Chromium]","tests.ui","Sun Feb 08 20:24:31 UTC 2026","passed","Sun Feb 08 20:24:31 UTC 2026","TestCategories","test_profile_page","",""
"","26","Update Spend Currency Eur[Chromium-New Jamesside-Vehicles]","tests.api","Sun Feb 08 20:24:21 UTC 2026","passed","Sun Feb 08 20:24:21 UTC 2026","TestApiSpends","test_api_spends","",""
"","53","Remove Spend[Chromium-Lake Curtis]","tests.api","Sun Feb 08 20:24:19 UTC 2026","passed","Sun Feb 08 20:24:19 UTC 2026","TestApiSpends","test_api_spends","",""
"","1104","Edit Spending Currency Usd[Chromium-Herrerafurt-Country]","tests.ui","Sun Feb 08 20:24:47 UTC 2026","passed","Sun Feb 08 20:24:48 UTC 2026","TestSpendPage","test_spending","",""
"","405","Registration New User[Chromium]","tests.ui","Sun Feb 08 20:24:25 UTC 2026","passed","Sun Feb 08 20:24:25 UTC 2026","TestAuthentication","test_login_page","",""
"","149","Add Same Category[Chromium-School]","tests.ui","Sun Feb 08 20:24:33 UTC 2026","passed","Sun Feb 08 20:24:33 UTC 2026","TestCategories","test_profile_page","",""
"","644","Delete Spending After Action[Chromium-Qa.Guru Python Advanced 2-Car]","tests.ui","Sun Feb 08 20:24:43 UTC 2026","passed","Sun Feb 08 20:24:44 UTC 2026","TestSpendPage","test_spending","",""
"","9","Check Spend In Db[Chromium-Some-Database]","tests.ui","Sun Feb 08 20:24:24 UTC 2026","passed","Sun Feb 08 20:24:24 UTC 2026","TestDatabase","test_category_db","",""
"","57","Add Spend Without Description[Chromium]","tests.api","Sun Feb 08 20:24:17 UTC 2026","passed","Sun Feb 08 20:24:17 UTC 2026","TestApiSpends","test_api_spends","",""
"","11","Get User Info By Exist Username","tests.soap","Sun Feb 08 20:24:48 UTC 2026","passed","Sun Feb 08 20:24:48 UTC 2026","TestSoapNiffler","test_soap","",""
"","230","Login User With Invalid Login Or Password[Chromium]","tests.ui","Sun Feb 08 20:24:29 UTC 2026","passed","Sun Feb 08 20:24:29 UTC 2026","TestAuthentication","test_login_page","",""
"","92","Spending Title Statistic Exists[Chromium]","tests.ui","Sun Feb 08 20:24:36 UTC 2026","passed","Sun Feb 08 20:24:36 UTC 2026","TestSpendPage","test_spending","",""
"","154","Add Empty Name Category[Chromium]","tests.ui","Sun Feb 08 20:24:32 UTC 2026","passed","Sun Feb 08 20:24:32 UTC 2026","TestCategories","test_profile_page","",""
"","39","Get All Categories[Chromium-Awesome]","tests.api","Sun Feb 08 20:24:12 UTC 2026","passed","Sun Feb 08 20:24:12 UTC 2026","TestCategory","test_api_category","",""
"","467","Create New Spending[Chromium]","tests.ui","Sun Feb 08 20:24:37 UTC 2026","passed","Sun Feb 08 20:24:38 UTC 2026","TestSpendPage","test_spending","",""
"","654","Delete All Spending[Chromium-West Melanieview-City]","tests.ui","Sun Feb 08 20:24:45 UTC 2026","passed","Sun Feb 08 20:24:46 UTC 2026","TestSpendPage","test_spending","",""
"","55","Add Spend With Minimal Amount[Chromium]","tests.api","Sun Feb 08 20:24:18 UTC 2026","passed","Sun Feb 08 20:24:18 UTC 2026","TestApiSpends","test_api_spends","",""
"","125","Add Spend[Chromium]","tests.api","Sun Feb 08 20:24:15 UTC 2026","passed","Sun Feb 08 20:24:15 UTC 2026","TestApiSpends","test_api_spends","",""
